Timestamp;AH3;LSParking
6/02/2018 11:15;61,92302;238,2198
6/02/2018 11:30;34,94014;161,2507
6/02/2018 11:45;42,93332;121,897
6/02/2018 12:00;108,915;229,355
6/02/2018 12:15;178,5838;230,0275
6/02/2018 12:30;119,3512;427,6611
6/02/2018 12:45;124,6477;274,3852
6/02/2018 13:00;78,30025;177,3795
6/02/2018 13:15;155,7853;242,8542
6/02/2018 13:30;144,0631;319,674
6/02/2018 13:45;207,3397;481,6261
6/02/2018 14:00;207,4475;394,9757
6/02/2018 14:15;202,2962;307,9169
6/02/2018 14:30;119,6339;269,166
6/02/2018 14:45;144,401;253,2715
6/02/2018 15:00;120,1183;288,8376
6/02/2018 15:15;163,4665;455,0323
6/02/2018 15:30;134,4335;215,6753
6/02/2018 15:45;71,06425;174,0819
6/02/2018 16:00;89,5992;199,5785
6/02/2018 16:15;73,6505;226,604
6/02/2018 16:30;52,64696;109,1113
6/02/2018 16:45;49,01391;118,9588
6/02/2018 17:00;46,64126;114,2964
6/02/2018 17:15;85,41302;200,6665
6/02/2018 17:30;80,30844;176,7316
6/02/2018 17:45;57,94548;135,2745
6/02/2018 18:00;43,55817;111,304
6/02/2018 18:15;34,16315;86,65511
6/02/2018 18:30;36,379;89,74328
6/02/2018 18:45;26,68321;66,53996
6/02/2018 19:00;21,122;50,87519
6/02/2018 19:15;16,13869;37,08445
6/02/2018 19:30;11,57403;26,92939
6/02/2018 19:45;2,587114;7,731792
6/02/2018 20:00;0,3267623;0,897347
6/02/2018 20:15;-0,2482421;-0,05120463
6/02/2018 20:30;-0,3628681;-0,1636871
6/02/2018 20:45;-0,3762104;-0,1995247
6/02/2018 21:00;-0,3700683;-0,2077768
6/02/2018 21:15;-0,3691381;-0,2060255
6/02/2018 21:30;-0,3627374;-0,1981075
6/02/2018 21:45;-0,3584324;-0,194722
6/02/2018 22:00;-0,3613792;-0,2032858
6/02/2018 22:15;-0,3652724;-0,2090025
6/02/2018 22:30;-0,3652734;-0,190419
6/02/2018 22:45;-0,3666878;-0,2120758
6/02/2018 23:00;-0,368692;-0,2105488
6/02/2018 23:15;-0,366953;-0,2206238
6/02/2018 23:30;-0,3632424;-0,2174395
6/02/2018 23:45;-0,3660309;-0,1978999
6/03/2018 0:00;-0,3613922;-0,2100764
6/03/2018 0:15;-0,3716543;-0,1885708
6/03/2018 0:30;-0,3670569;-0,2221531
6/03/2018 0:45;-0,3735307;-0,1950394
6/03/2018 1:00;-0,3687409;-0,1848566
6/03/2018 1:15;-0,3688859;-0,2102339
6/03/2018 1:30;-0,3771758;-0,1964347
6/03/2018 1:45;-0,3730135;-0,2054562
6/03/2018 2:00;-0,3739071;-0,21853
6/03/2018 2:15;-0,3765683;-0,2160574
6/03/2018 2:30;-0,3720819;-0,2243556
6/03/2018 2:45;-0,3752293;-0,1935574
6/03/2018 3:00;-0,3770303;-0,2116121
6/03/2018 3:15;-0,3685216;-0,2155372
6/03/2018 3:30;-0,3731885;-0,22323
6/03/2018 3:45;-0,3728692;-0,2307576
6/03/2018 4:00;-0,372542;-0,211018
6/03/2018 4:15;-0,3641862;-0,2004804
6/03/2018 4:30;-0,3801975;-0,2208861
6/03/2018 4:45;-0,3683238;-0,2025308
6/03/2018 5:00;-0,3341064;-0,009405022
6/03/2018 5:15;1,347566;4,017209
